Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Package ID,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID,Sales Channel
GPA.3362-4062-2157-87113,"Jul 16, 2026",5:30:01 AM PDT,Colombia VAT,Tax,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,OP516EL1,US,TX,75204,USD,-0.12,1.000000,USD,-0.12,,,4993951633197654550,Yes,,,,Play store
GPA.3331-2350-0932-47679,"Jul 17, 2026",1:19:49 PM PDT,,Charge,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,vegas,US,TX,78228,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3331-2350-0932-47679,"Jul 17, 2026",1:19:49 PM PDT,,Google fee,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,vegas,US,TX,78228,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3331-2350-0932-47679,"Jul 17, 2026",1:19:49 PM PDT,Colombia VAT,Tax,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,vegas,US,TX,78228,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3386-8337-0746-14207,"Jul 18, 2026",8:58:09 PM PDT,,Charge,,Tarot Rider-Waite Complete,com.cha0smagick.unofficialraiderwaite,Paid app,,tegu,US,AZ,85122,USD,9.99,1.000000,USD,9.99,,,4993951633197654550,Yes,,,,Play store
GPA.3386-8337-0746-14207,"Jul 18, 2026",8:58:09 PM PDT,,Google fee,,Tarot Rider-Waite Complete,com.cha0smagick.unofficialraiderwaite,Paid app,,tegu,US,AZ,85122,USD,-1.50,1.000000,USD,-1.50,,,4993951633197654550,Yes,15,,,Play store
GPA.3386-8337-0746-14207,"Jul 18, 2026",8:58:09 PM PDT,Colombia VAT,Tax,,Tarot Rider-Waite Complete,com.cha0smagick.unofficialraiderwaite,Paid app,,tegu,US,AZ,85122,USD,-0.29,1.000000,USD,-0.29,,,4993951633197654550,Yes,,,,Play store
GPA.3324-9989-5523-16966,"Jul 18, 2026",8:59:26 PM PDT,,Charge,,Dreamachine: Lucid Dreaming,com.cha0smagick.dreammachine,Paid app,,tegu,US,AZ,85122,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3324-9989-5523-16966,"Jul 18, 2026",8:59:26 PM PDT,,Google fee,,Dreamachine: Lucid Dreaming,com.cha0smagick.dreammachine,Paid app,,tegu,US,AZ,85122,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3324-9989-5523-16966,"Jul 18, 2026",8:59:26 PM PDT,Colombia VAT,Tax,,Dreamachine: Lucid Dreaming,com.cha0smagick.dreammachine,Paid app,,tegu,US,AZ,85122,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3326-7513-6897-97293,"Jul 18, 2026",9:00:18 PM PDT,,Charge,,PSI GYM: Train Your Intuition,com.cha0smagicklabs.zenercards,Paid app,,tegu,US,AZ,85122,USD,2.99,1.000000,USD,2.99,,,4993951633197654550,Yes,,,,Play store
GPA.3326-7513-6897-97293,"Jul 18, 2026",9:00:18 PM PDT,,Google fee,,PSI GYM: Train Your Intuition,com.cha0smagicklabs.zenercards,Paid app,,tegu,US,AZ,85122,USD,-0.45,1.000000,USD,-0.45,,,4993951633197654550,Yes,15,,,Play store
GPA.3326-7513-6897-97293,"Jul 18, 2026",9:00:18 PM PDT,Colombia VAT,Tax,,PSI GYM: Train Your Intuition,com.cha0smagicklabs.zenercards,Paid app,,tegu,US,AZ,85122,USD,-0.09,1.000000,USD,-0.09,,,4993951633197654550,Yes,,,,Play store
GPA.3360-5137-6436-71848,"Jul 18, 2026",9:00:33 PM PDT,,Charge,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,tegu,US,AZ,85122,USD,6.99,1.000000,USD,6.99,,,4993951633197654550,Yes,,,,Play store
GPA.3360-5137-6436-71848,"Jul 18, 2026",9:00:33 PM PDT,,Google fee,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,tegu,US,AZ,85122,USD,-1.05,1.000000,USD,-1.05,,,4993951633197654550,Yes,15,,,Play store
GPA.3360-5137-6436-71848,"Jul 18, 2026",9:00:33 PM PDT,Colombia VAT,Tax,,Astral Lab: Natal Chart,com.cha0smagicklabs.astralchart,Paid app,,tegu,US,AZ,85122,USD,-0.20,1.000000,USD,-0.20,,,4993951633197654550,Yes,,,,Play store
GPA.3320-3202-1150-60600,"Jul 18, 2026",9:00:44 PM PDT,,Charge,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,tegu,US,AZ,85122,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3320-3202-1150-60600,"Jul 18, 2026",9:00:44 PM PDT,,Google fee,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,tegu,US,AZ,85122,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3320-3202-1150-60600,"Jul 18, 2026",9:00:44 PM PDT,Colombia VAT,Tax,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,tegu,US,AZ,85122,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3379-8914-8155-79623,"Jul 19, 2026",7:13:29 AM PDT,,Charge,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,tegu,AU,,2122,AUD,5.90,0.698350,USD,4.12,,,4993951633197654550,Yes,,,,Play store
GPA.3379-8914-8155-79623,"Jul 19, 2026",7:13:29 AM PDT,,Google fee,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,tegu,AU,,2122,AUD,-0.88,0.698350,USD,-0.61,,,4993951633197654550,Yes,15,,,Play store
GPA.3379-8914-8155-79623,"Jul 19, 2026",7:13:29 AM PDT,Colombia VAT,Tax,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,tegu,AU,,2122,AUD,-0.17,0.698350,USD,-0.12,,,4993951633197654550,Yes,,,,Play store
GPA.3342-6150-8879-42119,"Jul 21, 2026",2:46:19 PM PDT,,Charge,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,REVVLTAB5G,US,AZ,85007,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3342-6150-8879-42119,"Jul 21, 2026",2:46:19 PM PDT,,Google fee,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,REVVLTAB5G,US,AZ,85007,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3342-6150-8879-42119,"Jul 21, 2026",2:46:19 PM PDT,Colombia VAT,Tax,,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,REVVLTAB5G,US,AZ,85007,USD,-0.11,1.000000,USD,-0.11,,,4993951633197654550,Yes,,,,Play store
GPA.3304-0928-6441-05966,"Jul 21, 2026",10:38:40 PM PDT,,Charge,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,mustang,US,CA,92025,USD,3.99,1.000000,USD,3.99,,,4993951633197654550,Yes,,,,Play store
GPA.3304-0928-6441-05966,"Jul 21, 2026",10:38:40 PM PDT,,Google fee,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,mustang,US,CA,92025,USD,-0.60,1.000000,USD,-0.60,,,4993951633197654550,Yes,15,,,Play store
GPA.3304-0928-6441-05966,"Jul 21, 2026",10:38:40 PM PDT,Colombia VAT,Tax,,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,mustang,US,CA,92025,USD,-0.12,1.000000,USD,-0.12,,,4993951633197654550,Yes,,,,Play store
