Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Package ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan or Purchase Option ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID,Sales Channel
GPA.3364-8937-9571-82834,2026-08-01,1785559318,Charged,e2q,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,USD,3.99,0.33,4.32,New Brighton,MN,55112,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3357-3197-9513-88768,2026-08-02,1785673881,Charged,cancunf,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,EUR,13.44,2.55,15.99,,,,DE,,,4993951633197654550,Yes,,,,,,Play store
GPA.3359-8938-9081-22176,2026-08-04,1785829034,Charged,pa3q,Arcana Goetia: Ritual & Sigils,com.cha0smagick.sigilgeneratorfinal,Paid app,,EUR,3.46,0.73,4.19,,,,NL,,,4993951633197654550,Yes,,,,,,Play store
GPA.3356-9723-9982-94944,2026-08-04,1785829138,Charged,pa3q,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,EUR,3.38,0.71,4.09,,,,NL,,,4993951633197654550,Yes,,,,,,Play store
GPA.3356-8977-0358-93501,2026-08-04,1785829439,Charged,pa3q,NOCTEM Tools: Ghost Hunting,com.cha0smagicklabs.noctemapp,Paid app,,EUR,13.21,2.78,15.99,,,,NL,,,4993951633197654550,Yes,,,,,,Play store
GPA.3378-9045-2667-38543,2026-08-05,1785941535,Charged,m3q,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,USD,3.99,0.24,4.23,Shephersville,KY,40165,US,,,4993951633197654550,Yes,,,,,,Play store
GPA.3391-8255-5443-12352,2026-08-05,1785955332,Charged,BV9300,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,EUR,3.41,0.68,4.09,,,,FR,,,4993951633197654550,Yes,,,,,,Play store
GPA.3375-6488-3809-12470,2026-08-06,1786007459,Charged,m34x,Chaos Magick Sigil Forge !,com.app.goetiansealsgeneratorapp,Paid app,,INR,364.41,65.59,430.00,Kottayam,Kerala,686008,IN,,,4993951633197654550,Yes,,,,,,Play store
